,city,latitude,location,longitude,post,water,pop,Area
0,Bern,46.9710097,aarezufluss_bern_scheurerk,7.4527897,3004,river,134395.0,51.62
1,Muri bei Bern,46.9235788,Aare_Bern_CaveltiN,7.4733191,3074,river,13187.0,7.63
2,Bern,46.9893631,Aare_bern_gerberm,7.4520977,3004,river,134395.0,51.62
3,Bern,46.9709672,aare_bern_scheurerk,7.4525857,3004,river,134395.0,51.62
4,Brugg,47.4948553,Aare_Brugg_BuchiE,8.2365581,5200,river,11245.0,6.36
5,Bern,46.9310201,Aare_Elfenau_cataldiv,7.4629605,3006,river,134395.0,51.62
6,Belp,46.9235719,aare_kehrsatz_stolten,7.4883011,3123,river,11557.0,23.29
7,Köniz,46.9345885,aare_köniz_hoppej,7.4581703,3084,river,41154.0,51.01
8,Rupperswil,47.410309,aare_rupperswil_badert,8.1125537,5102,river,5404.0,6.22
9,Solothurn,47.1977495,aare_solothurn_nguyena,7.5242247,4500,river,16827.0,6.28
10,Aarau,47.4056692,aare_suhrespitz_badert,8.066018,5032,river,21221.0,12.33
11,Veyrier,46.1784912,arve_carouge_battistellak,6.1543187,1234,river,11557.0,6.5
12,Berlingen,47.6724312,Berlingen swisslitterreport,9.0110553,8267,lake,889.0,3.58
13,Vinelz,47.0383984,Bielersee_Vinelz_FankhauserS,7.1083114,3234,lake,855.0,4.56
14,Birsfelden,47.5577429,Birsköpfli Rusco,7.6172916,4127,river,10566.0,2.52
15,Basel,47.5511276,Birs_Basel_GrunerN,7.6221988,4052,river,173870.0,23.91
16,Basel,47.5460497,Birs_basel_läderachs,7.6225981,4052,river,173870.0,23.91
17,Reinach,47.5036817,Birs_Reinach_DiNucciN,7.6070085,4153,river,18743.0,7.0
18,Thal,47.4865069,bodensee_altenrhein_caluoria,9.5439664,9422,lake,6495.0,9.65
19,Arbon,47.5208887,Bodensee_Arbon_MösliS,9.431144,9320,lake,14426.0,5.94
20,Horn,47.4982757,bodensee_horn_huberm,9.4569782,9326,lake,2609.0,1.73
21,Steinach,47.5062992,Bodensee_Steinach_Dolder_A,9.4361714,9323,lake,3600.0,4.49
22,Thal,47.4862163,bodensee_thal_schlachterj_1,9.5439099,9422,lake,6495.0,9.65
23,Dübendorf,47.4029195,chriesbach_duebendorf_schneidera,8.6051458,8600,river,28009.0,13.62
24,Biberist,47.1692208,emme_biberist_jennim,7.5589948,4562,river,8411.0,12.25
25,Zuchwil,47.2119442,emme_luterbach_huggenbergerk,7.5740144,4528,river,8900.0,4.63
26,Utzenstorf,47.123696,Emme_Utzenstorf_Grüttert,7.539627,3427,river,4262.0,16.94
27,Opfikon,47.4167691,glatt_oerlikon_covosN,8.566712,8152,river,20008.0,5.59
28,Goldach,47.4739111,goldach_goldach_schlachterj,9.4593094,9403,lake,9068.0,4.71
29,Fällanden,47.3609381,greifensee_fällanden_meistery,8.6537228,8117,lake,8449.0,6.38
30,Fällanden,47.3597141,greifensee_fällanden_simmenc,8.6548433,8117,lake,8449.0,6.38
31,Greifensee,47.3635723,greifensee_greifensee_simmenc,8.6756991,8606,lake,5391.0,2.32
32,Maur,47.3323864,greifensee_maur_simmenc,8.6855146,8124,lake,10097.0,14.77
33,Uster,47.347436,greifensee_uster_fischerb_ 2,8.6898805,8610,lake,34436.0,28.53
34,Uster,47.3501274,greifensee_uster_fischerb_1,8.6897972,8610,lake,34436.0,28.53
35,Illnau-Effretikon,47.4256491,Grendelbach_Effretikon_DamboneC,8.6907062,8307,lake,16835.0,32.92
36,Scuol,46.800876,Inn_Pradella_KohlT,10.319994,7550,river,4775.0,438.63
37,Dürnten,47.2684272,jona_tann_nusslin,8.8641251,8635,river,7559.0,10.2
38,Zürich,47.4284728,katzenbach_zuerich_sanesim,8.513088,8046,river,410126.0,87.88
39,Zürich,47.4311281,katzensee_regensdorfzuerichaffoltern_stueberj,8.4929243,8046,lake,410126.0,87.88
40,Gland,46.4028693,lacléman_gland_kubela,6.2819358,1196,lake,13107.0,8.32
41,Gland,46.4028106,Lacléman_Gland_LecoanetS,6.2819586,1196,lake,13107.0,8.32
42,La Tour-de-Peilz,46.4503892,LacLéman_La Tour-de-Peilz_bain des dames_Hammerdirt,6.8582342,1814,lake,11752.0,3.24
43,Lausanne,46.5183178,lacléman_vidy_santie,6.5896078,1007,lake,140193.0,41.38
44,Langenthal,47.2165332,langete_langenthal_geiserm,7.7923041,4900,river,15573.0,17.22
45,Dietikon,47.4079891,limmat_dietikon_keiserp,8.4095398,8953,river,27227.0,9.34
46,Unterengstringen,47.4094003,Limmat_Unterengstringen_OggierBührer,8.4469334,8103,river,3763.0,3.34
47,Zürich,47.4000247,Limmat_Zuerich_JansenA,8.4846847,8064,river,410126.0,87.88
48,Zürich,47.3945393,limmat_zuerich_suterd&glauserp,8.5134435,8005,river,410126.0,87.88
49,Zürich,47.4034956,Limmat_Zuerich_WagnerC,8.4777701,8064,river,410126.0,87.88
50,Zürich,47.4002515,limmat_zürich_mortensena_meiera,8.485411,8064,river,410126.0,87.88
51,Baar,47.1954019,Lorze_Baar_BlarerE,8.540237,6340,river,24603.0,24.83
52,Ostermundigen,46.964946,lötschebach_bern_scheurerk,7.4928359,3072,river,17197.0,5.94
53,Steckborn,47.6558366,Mammern swisslitterreport,8.9553168,8266,lake,3777.0,8.76
54,Wängi,47.49361,Murg_Waengi_StrickerR,8.9615928,9545,river,4646.0,16.43
55,Cudrefin,46.9627089,Neuenburgersee_Cudrefin_MatterA,7.0259681,1588,lake,1557.0,15.82
56,Vevey,46.4599413,Ognonnaz-1,6.8591341,1800,river,20410.0,2.38
57,Rothrist,47.2985678,Pfaffner_Rothrist_Ischik,7.8994664,4852,river,8968.0,11.85
58,Bremgarten,47.3298691,Reuss,8.3568493,5626,river,6247.0,11.36
59,Hünenberg,47.2329755,reuss_hünenberg_eberhardy,8.4010121,6331,river,8891.0,18.41
60,Merenschwand,47.2783545,reuss_ottenbach_schoenenbergerl,8.3942242,5634,river,3527.0,13.51
61,Luzern,47.0571118,Reuss_St.Karli_LinigerS/ImhofY,8.2879145,6004,river,82418.0,29.06
62,Basel,47.5568018,Rhein_Basel,7.6010856,4058,river,173870.0,23.91
63,Huningue,47.5894062,Rhein_Basel_BlarerP_1,7.5873181,68330,river,173870.0,2.86
64,Huningue,47.591151,Rhein_Basel_BlarerP_2,7.5879485,68330,river,173870.0,2.86
65,Basel,47.5582176,Rhein_Basel_HungerbuehlerN,7.6103488,4058,river,173870.0,23.91
66,Basel,47.5586439,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,7.6121536,4058,river,173870.0,23.91
67,Domat/Ems,46.8380375,rhein_domatems_foppa_f,9.4476387,7013,river,8078.0,24.22
68,Eglisau,47.5733159,rhein_eglisau_gomringerp,8.5345847,8193,river,5184.0,9.06
69,Hemishofen,47.6755236,Rhein_Hemishofen_StollL,8.8280292,8261,river,472.0,7.89
70,Büsingen am Hochrhein,47.6915254,rhein_laag_jungbluthn,8.7172104,78266,river,1358.0,7.62
71,Düdingen,46.8591514,schiffenensee_duedingen_hirschij,7.1764374,3186,river,7866.0,30.76
72,Sempach,47.1286181,sempachersee_sempach_tampec,8.1918737,6204,lake,4120.0,8.91
73,Köniz,46.8831206,Sense_Törishaus_g-cubes,7.3531889,3174,river,41154.0,51.01
74,Einsiedeln,47.1413938,sihlsee_einsiedeln_schilligerllacherl,8.7603588,8840,lake,15448.0,99.04
75,Adliswil,47.3124217,Sihl_Adliswil_Oggi_Fort,8.5262549,8134,river,18896.0,7.77
76,Horgen,47.2726946,Sihl_Horgen_BucherF,8.5536821,8810,river,20369.0,30.83
77,Zürich,47.3254361,sihl_leimbach_kruegerm,8.5191195,8041,river,410126.0,87.88
78,Menzingen,47.1915012,Sihl_Menzingen_Kucharska_Magdalena,8.6184214,6313,river,4487.0,27.51
79,Zürich,47.3818981,sihl_zuerich_eggerskoehlingera,8.5383279,8005,river,410126.0,87.88
80,Zürich,47.3395883,Sihl_zuerich_eichenbergerD,8.5166965,8041,river,410126.0,87.88
81,Zürich,47.3731495,Sihl_Zuerich_ScherfS,8.5323698,8001,river,410126.0,87.88
82,Zürich,47.3430554,sihl_zürich_himmelhebern,8.5186122,8041,river,410126.0,87.88
83,Sankt Gallen,47.4251609,sitter_gaiserwald_buehlerf,9.3401037,9000,river,76056.0,39.39
84,Sankt Gallen,47.4102424,Sitter_St.Gallen_JennyA,9.320376,9014,river,76056.0,39.39
85,Sankt Gallen,47.4332917,sitter_stgallen_steinbrunnerf ,9.3580747,9000,river,76056.0,39.39
86,Delémont,47.3709868,sorne_birse_WWFJura,7.3609099,2800,river,12657.0,21.99
87,Spiez,46.7044368,thunersee_spiez_meierd_1,7.6578824,3646,lake,12756.0,16.69
88,Kradolf-Schönenberg,47.5240726,Thur_Schoenenberg_SchaerA,9.1983347,9214,river,3554.0,9.12
89,Wil,47.4467866,thur_schwarzenbach_meiliw,9.0638156,9500,river,17678.0,20.82
90,Bauma,47.3701757,Töss_Bauma_KurthE,8.8678249,8494,river,4916.0,29.53
91,Zell,47.4545698,töss_kollbrunn_bürgid,8.77968,8483,river,5167.0,12.97
92,Winterthur,47.4787073,Töss_Winterthur 2,8.7084264,8406,river,110443.0,68.07
93,Ermatingen,47.6726333,unterdsee_ermatingen_brunkem,9.0812462,8272,lake,3311.0,10.46
94,Selyshche,48.4957541,untersee_steckborn_siedlerm,27.0742158,60216,lake,0.0,0.0
95,Hundwil,47.3250986,urnaesch_urnaesch_meierr,9.2954188,9107,river,961.0,24.08
96,Weggis,47.0445321,vierwaldstättersee_weggis_schöberls_1,8.4185689,6353,lake,4421.0,11.79
97,Weggis,47.043953,vierwaldstättersee_weggis_schöberls_2,8.4173076,6353,lake,4421.0,11.79
98,Weggis,47.0299566,vierwaldstättersee_weggis_schöberls_3,8.410801,6353,lake,4421.0,11.79
99,Disentis/Mustér,46.6982739,vorderrhein_disentis_schmidn,8.8578373,7180,river,2149.0,90.99
100,Walenstadt,47.1218282,Walensee_Walenstadt_WyssE,9.2995517,8880,lake,5614.0,45.68
101,Männedorf,47.254754,zuerichsee_maennedorf_vanderkaadene,8.6875038,8708,lake,10871.0,4.77
102,Richterswil,47.2176458,zuerichsee_richterswil_benkoem_2,8.6987133,8805,lake,13392.0,7.54
103,Stäfa,47.2346431,zuerichsee_staefa_hennm,8.7698814,8713,lake,14329.0,8.58
104,Richterswil,47.2195468,zuerichsee_waedenswil_colomboc_1,8.6919611,8805,lake,13392.0,7.54
105,Zürich,47.3539573,zuerichsee_zurich_kullg,8.5504743,8008,lake,410126.0,87.88
106,Zug,47.1782157,ZugerseeCholler_Cham_BlarerM,8.4800128,6300,lake,30416.0,21.63
107,Meierskappel,47.1066869,zugersee_Immensee_Guedesd,8.4788812,6344,lake,1378.0,6.8
108,Steffisburg,46.7742431,zulg_steffisburg_schmassmanne,7.6245372,3612,river,15811.0,13.36
109,Zürich,47.3593922,Zürichsee-Feldeggstr-BänningerSand,8.5473682,8008,lake,410126.0,87.88
110,Küsnacht,47.3176849,Zürichsee_Küsnachterhorn_Thirkell-WhiteJ,8.5768602,8700,lake,13283.0,12.35
111,Zürich,47.3458899,zürichsee_wollishofen_langendorfm,8.5361545,8038,lake,410126.0,87.88
